Branch,Year,median,count,branch_median_prev,branch_pop_prev
EC Electronics,2020,49277.0,4463,,0
EC Electronics,2021,74168.0,7673,49277.0,4463
EC Electronics,2022,73361.0,8117,61722.5,12136
EC Electronics,2023,79430.5,8158,73361.0,20253
EC Electronics,2024,103257.0,8234,73764.5,28411
EE Electrical,2020,49163.0,1975,,0
EE Electrical,2021,81252.0,2763,49163.0,1975
EE Electrical,2022,88517.0,2911,65207.5,4738
EE Electrical,2023,98085.0,3138,81252.0,7649
EE Electrical,2024,113164.5,3220,84884.5,10787
EG Energy Engineering,2021,183024.0,1,,0
EG Energy Engineering,2022,160160.0,5,183024.0,1
EI Elec. Inst. Engg,2020,51313.0,401,,0
EI Elec. Inst. Engg,2021,68107.5,414,51313.0,401
EI Elec. Inst. Engg,2022,67698.5,442,59710.25,815
EI Elec. Inst. Engg,2023,66242.5,436,67698.5,1257
EI Elec. Inst. Engg,2024,83350.0,348,66970.5,1693
"EL Electronics, Instr. Tech.",2021,45119.5,54,,0
"EL Electronics, Instr. Tech.",2024,51260.0,57,45119.5,54
EN Environmental,2020,68057.0,51,,0
EN Environmental,2021,101969.0,27,68057.0,51
EN Environmental,2022,110957.0,32,85013.0,78
EN Environmental,2023,128339.0,41,101969.0,110
EN Environmental,2024,123853.0,45,106463.0,151
ER Electrical and Computer,2020,130564.0,12,,0
ER Electrical and Computer,2021,81162.0,34,130564.0,12
ER Electrical and Computer,2024,133712.0,13,105863.0,46
ES Electronics and Computer,2020,125758.0,20,,0
ES Electronics and Computer,2021,78530.0,66,125758.0,20
ES Electronics and Computer,2022,85408.0,133,102144.0,86
ES Electronics and Computer,2023,132950.0,206,85408.0,219
ES Electronics and Computer,2024,124062.0,249,105583.0,425
ET Elec. Telecommn.,2020,32731.0,108,,0
ET Elec. Telecommn. Engg.,2021,38897.0,359,,0
ET Elec. Telecommn. Engg.,2022,51436.0,403,38897.0,359
ET Elec. Telecommn. Engg.,2023,46060.5,394,45166.5,762
ET Elec. Telecommn. Engg.,2024,48248.0,336,46060.5,1156
EV EC Engg(VLSI Design),2022,46124.0,66,,0
EV EC Engg(VLSI Design),2023,76829.5,118,46124.0,66
EV EC Engg(VLSI Design),2024,80300.0,193,61476.75,184
EZ ELECTRONICS AND COMPUT,2024,138158.0,28,,0
IB CS-IoT Block Chain,2022,36437.0,30,,0
"IC CS-IoT, Cyber Security",2021,92583.0,55,,0
"IC CS-IoT, Cyber Security",2023,79465.0,660,92583.0,55
"IC CS-IoT, Cyber Security",2024,99928.5,774,86024.0,715
"IC IoT, Cyber Security",2020,90385.5,2,,0
IE Info.Science,2020,43308.0,2878,,0
IE Info.Science,2021,45290.5,3972,43308.0,2878
IE Info.Science,2022,46354.0,4350,44299.25,6850
IE Info.Science,2023,55377.0,4888,45290.5,11200
IE Info.Science,2024,84416.5,4340,45822.25,16088
IG Information Technology,2021,71434.0,71,,0
IG Information Technology,2022,72238.0,73,71434.0,71
II EC -Industrial Integrated,2020,52213.0,31,,0
II EC -Industrial Integrated,2021,39651.5,38,52213.0,31
II EC -Industrial Integrated,2022,33999.0,33,45932.25,69
IM Ind. Engg. Mgmt.,2020,67763.5,194,,0
IM Ind. Engg. Mgmt.,2021,72352.0,211,67763.5,194
IM Ind. Engg. Mgmt.,2022,79706.0,163,70057.75,405
IM Ind. Engg. Mgmt.,2023,95292.5,182,72352.0,568
IM Ind. Engg. Mgmt.,2024,78320.5,212,76029.0,750
IO CS- Internet of Things,2020,117946.0,21,,0
IO CS- Internet of Things,2021,88648.0,61,117946.0,21
IO CS- Internet of Things,2022,74294.0,487,103297.0,82
IO CS- Internet of Things,2023,92456.0,51,88648.0,569
IO CS- Internet of Things,2024,118010.0,26,90552.0,620
IP Ind.Prodn.,2020,103926.0,125,,0
IP Ind.Prodn.,2021,119555.0,153,103926.0,125
IP Ind.Prodn.,2022,130925.0,84,111740.5,278
IP Ind.Prodn.,2023,143974.0,48,119555.0,362
IP Ind.Prodn.,2024,155455.0,92,125240.0,410
IS Information Sc. and Tech.,2021,53464.5,36,,0
IS Information Sc. and Tech.,2022,60639.5,52,53464.5,36
IY CS-IT-Cyber Security,2022,106512.0,37,,0
IZ INFORMATION SCIENCE,2024,137190.0,41,,0
LA B Plan,2022,167340.0,6,,0
LA B Plan,2024,202875.5,16,167340.0,6
LC CS- Block Chain,2020,140796.0,6,,0
LC CS- Block Chain,2021,75261.0,33,140796.0,6
LC CS- Block Chain,2022,76168.5,28,108028.5,39
LD B Tech in DS,2023,153327.0,10,,0
LD B Tech in DS,2024,109951.0,46,153327.0,10
LE B Tech in AIML,2023,187216.0,12,,0
LE B Tech in AIML,2024,110712.0,113,187216.0,12
LF B Tech in CC,2023,192368.0,2,,0
LF B Tech in CC,2024,164844.5,34,192368.0,2
LG B Tech in CS,2023,167846.5,10,,0
LG B Tech in CS,2024,137998.0,45,167846.5,10
LH B Tech in IS,2023,196896.0,2,,0
LH B Tech in IS,2024,156585.0,32,196896.0,2
LJ B Tech in BS,2023,198677.5,2,,0
LJ B Tech in BS,2024,176420.0,28,198677.5,2
LK B Tech in IOT,2023,178340.0,2,,0
LK B Tech in IOT,2024,176929.0,52,178340.0,2
MD Med.Elect.,2020,51293.0,136,,0
MD Med.Elect.,2021,45467.0,136,51293.0,136
MD Med.Elect.,2022,76387.0,99,48380.0,272
MD Med.Elect.,2023,79396.5,102,51293.0,371
MD Med.Elect.,2024,101570.0,79,63840.0,473
ME Mechanical,2020,80790.0,1404,,0
ME Mechanical,2021,117686.5,1598,80790.0,1404
ME Mechanical,2022,124756.0,1321,99238.25,3002
ME Mechanical,2023,141478.0,1553,117686.5,4323
ME Mechanical,2024,170830.0,2955,121221.25,5876
MI Mining Engineering,2024,197524.0,18,,0
MK Mechanical Engg (Kannada),2023,199165.0,1,,0
MK Mechanical Engg (Kannada),2024,233215.0,9,199165.0,1
"MM Mechanical, Smart Manf.",2020,89738.0,12,,0
"MM Mechanical, Smart Manf.",2021,129241.0,40,89738.0,12
"MM Mechanical, Smart Manf.",2022,131060.0,17,109489.5,52
"MM Mechanical, Smart Manf.",2023,188094.0,6,129241.0,69
"MM Mechanical, Smart Manf.",2024,236235.0,20,130150.5,75
MN Mining,2020,146850.0,1,,0
MN Mining Engineering,2021,167133.0,11,,0
MN Mining Engineering,2022,167347.0,5,167133.0,11
MR Marine Engineering,2020,89835.0,21,,0
MR Marine Engineering,2021,151413.0,11,89835.0,21
MR Marine Engineering,2022,163083.0,9,120624.0,32
MR Marine Engineering,2023,134178.0,28,151413.0,41
MR Marine Engineering,2024,120696.0,29,142795.5,69
MT Mechatronics,2020,119375.0,42,,0
MT Mechatronics,2021,119501.5,56,119375.0,42
MT Mechatronics,2022,137860.0,55,119438.25,98
MT Mechatronics,2023,145908.0,53,119501.5,153
MT Mechatronics,2024,157995.0,65,128680.75,206
OP Comp. Sc. Engg- Dev Ops,2020,130236.5,10,,0
OP Comp. Sc. Engg- Dev Ops,2021,63946.0,31,130236.5,10
OP Comp. Sc. Engg- Dev Ops,2022,77789.0,33,97091.25,41
OT Industrial IOT,2021,177882.0,7,,0
OT Industrial IOT,2023,139220.0,19,177882.0,7
OT Industrial IOT,2024,137795.0,17,158551.0,26
PL Petroleum Engineering,2020,140901.0,3,,0
PL Petroleum Engineering,2021,139339.0,19,140901.0,3
PL Petroleum Engineering,2022,144474.0,11,140120.0,22
PT Polymer Tech.,2020,82271.0,24,,0
PT Polymer Tech.,2021,144623.5,12,82271.0,24
PT Polymer Tech.,2022,123949.5,26,113447.25,36
PT Polymer Tech.,2023,154755.5,22,123949.5,62
PT Polymer Tech.,2024,151858.0,33,134286.5,84
RA Robotics and Automation,2021,92398.0,159,,0
RA Robotics and Automation,2022,106641.0,131,92398.0,159
RA Robotics and Automation,2023,112663.5,132,99519.5,290
RA Robotics and Automation,2024,132489.5,142,106641.0,422
RB Robotics,2021,57568.0,29,,0
RB Robotics,2022,65308.0,19,57568.0,29
RI Robotics and AI,2021,135024.0,33,,0
RI Robotics and AI,2022,91073.0,115,135024.0,33
RI Robotics and AI,2023,84079.0,153,113048.5,148
