College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E054,2021,108941.5,72,109956.0,7,
E054,2022,136361.0,27,109448.75,79,-1014.5000000004283
E054,2023,103791.0,154,109956.0,106,13202.499999996791
E054,2024,135438.5,114,109448.75,260,-2575.249999997885
E055,2020,108504.0,32,,0,
E055,2021,108817.0,102,108504.0,32,
E055,2022,102469.0,98,108660.5,134,313.00000000016166
E055,2023,113887.0,135,108504.0,232,-3017.49999999924
E055,2024,145246.0,142,108660.5,367,2534.9999999991787
E056,2020,15134.0,225,,0,
E056,2021,17959.0,219,15134.0,225,
E056,2022,37256.0,108,16546.5,444,2825.000000001285
E056,2023,41463.0,119,17959.0,552,11060.999999997879
E056,2024,69072.0,187,27607.5,671,11751.999999999158
E057,2020,26960.5,268,,0,
E057,2021,17770.0,275,26960.5,268,
E057,2022,19282.0,281,22365.25,543,-9190.500000004175
E057,2023,28291.0,290,19282.0,824,-3839.2500000005225
E057,2024,34725.0,301,23121.25,1114,5260.499999999188
E058,2020,45561.5,266,,0,
E058,2021,36969.0,208,45561.5,266,
E058,2022,31285.0,239,41265.25,474,-8592.500000003904
E058,2023,35612.5,308,36969.0,713,-7138.249999999665
E058,2024,56118.0,323,36290.75,1021,-678.2500000002303
E059,2020,61919.0,138,,0,
E059,2021,63480.5,286,61919.0,138,
E059,2022,55971.0,311,62699.75,424,1561.5000000007237
E059,2023,70309.0,343,61919.0,735,-2973.9999999990823
E059,2024,104259.0,403,62699.75,1078,3414.2499999989536
E060,2020,38438.0,233,,0,
E060,2021,28263.5,206,38438.0,233,
E060,2022,32898.0,263,33350.75,439,-10174.500000004622
E060,2023,28084.0,265,32898.0,702,-2770.0000000009213
E060,2024,37843.5,304,30580.75,967,-89.7499999997023
E061,2020,52015.0,359,,0,
E061,2021,61632.0,362,52015.0,359,
E061,2022,74905.0,305,56823.5,721,9617.00000000436
E061,2023,92937.0,311,61632.0,1026,11444.999999998829
E061,2024,83233.0,786,68268.5,1337,15652.499999998125
