College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Scaled,Branch_Norm,College_Clean,College_Final,Rank_norm,college_median_prev,college_pop_prev,college_trend_prev3_slope,branch_median_prev,branch_pop_prev,College_Tier,college_median_prev_filled,branch_median_prev_filled,college_pop_prev_filled,branch_pop_prev_filled,branch_unstable_flag,Cutoff_log1p,Rank_norm_log1p,rank_norm_x_tier,branchpop_x_tier,collegepop_x_ranknorm,College_Code_enc_prev,Branch_enc_prev,Category_enc_prev,College_Code_enc_prev_filled,Branch_enc_prev_filled,Category_enc_prev_filled,Rank_norm_scaled,Cutoff_log1p_scaled,Rank_norm_log1p_scaled,College_Code_enc_prev_filled_scaled,Branch_enc_prev_filled_scaled,Category_enc_prev_filled_scaled,college_pop_prev_filled_scaled,branch_pop_prev_filled_scaled,college_trend_prev3_slope_scaled
E042,Khaja Banda Nawaz University Kalburgi,2BH,CS Computers,60269.0,2021,1,KCET,0.3289613012390153,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.3289613012390153,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.00658974647709,0.2843976613530831,0.9868839037170458,21381.0,13.487413350799628,106024.18080052592,58856.9135800514,78541.33448347304,106024.18080052592,58856.9135800514,78541.33448347304,-0.2990086674391066,0.0928305433095151,-0.2236172260673922,1.3608157049116278,-0.6000288346570003,0.823385769200814,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,3AH,CS Computers,130298.0,2021,1,KCET,0.7111948037770864,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.7111948037770864,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.777587088486404,0.5371918427699298,2.133584411331259,21381.0,29.158986954860545,106024.18080052592,58856.9135800514,59029.87967307637,106024.18080052592,58856.9135800514,59029.87967307637,1.1770570522699848,0.9614590145570694,1.18159867964786,1.3608157049116278,-0.6000288346570003,-0.6780709867887742,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,3BH,CS Computers,71793.0,2021,1,KCET,0.3918617979367938,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.3918617979367938,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.18155618608492,0.3306422746104139,1.1755853938103815,21381.0,16.066333715408547,106024.18080052592,58856.9135800514,57592.81606408253,106024.18080052592,58856.9135800514,57592.81606408253,-0.0561067074806955,0.2899529232130506,0.0334443318317448,1.3608157049116278,-0.6000288346570003,-0.7886567368252533,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,3BRH,CS Computers,114853.0,2021,1,KCET,0.6268926368647999,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.6268926368647999,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.651417035547333,0.4866718382690759,1.8806779105944,21381.0,25.7025981114568,106024.18080052592,58856.9135800514,57138.61217307495,106024.18080052592,58856.9135800514,57138.61217307495,0.8515085646304792,0.8193120910461921,0.9007713540997926,1.3608157049116278,-0.6000288346570003,-0.8236088973574707,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,GMH,CS Computers,60074.0,2021,1,KCET,0.3278969488565034,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.3278969488565034,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.00334906060467,0.2835964500437407,0.9836908465695102,21381.0,13.44377490311664,106024.18080052592,58856.9135800514,52481.52618543413,106024.18080052592,58856.9135800514,52481.52618543413,-0.3031188620062613,0.0891794904954837,-0.2280709475471222,1.3608157049116278,-0.6000288346570003,-1.1819836719356251,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,GMKH,CS Computers,72431.0,2021,1,KCET,0.3953441406036788,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.3953441406036788,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.19040346967574,0.3331410813388458,1.1860324218110363,21381.0,16.20910976475083,106024.18080052592,58856.9135800514,69328.27746313161,106024.18080052592,58856.9135800514,69328.27746313161,-0.0426589939737999,0.299920535293477,0.0473345366632817,1.3608157049116278,-0.6000288346570003,0.1144172765419258,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,GMRH,CS Computers,86958.0,2021,1,KCET,0.4746356639921402,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.4746356639921402,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.373192022188952,0.3884109524955931,1.423906991976421,21381.0,19.46006222367775,106024.18080052592,58856.9135800514,54841.11793527046,106024.18080052592,58856.9135800514,54841.11793527046,0.2635399623187929,0.5058555395793767,0.3545651130198871,1.3608157049116278,-0.6000288346570003,-1.0004070028150194,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,SCH,CS Computers,131002.0,2021,1,KCET,0.7150373887888216,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.7150373887888216,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,11.78297550268443,0.5394348820063862,2.1451121663664647,21381.0,29.316532940341688,106024.18080052592,58856.9135800514,79776.22960794784,106024.18080052592,58856.9135800514,79776.22960794784,1.191895908553456,0.9675297617986652,1.194067140727724,1.3608157049116278,-0.6000288346570003,0.9184141330823896,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,STH,CS Computers,171171.0,2021,1,KCET,0.9342885213689208,CS Computers,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.9342885213689208,108531.0,41,,50612.0,7127,3,108531.0,50612.0,41,7127,1,12.05042417791192,0.6597395701694491,2.8028655641067624,21381.0,38.30582937612575,106024.18080052592,58856.9135800514,78193.90596948868,106024.18080052592,58856.9135800514,78193.90596948868,2.0385749114664558,1.2688453711295642,1.8628090413179377,1.3608157049116278,-0.6000288346570003,0.7966502492401355,-0.8578898410978061,0.012066244891669,0.3454856169448763
E042,Khaja Banda Nawaz University Kalburgi,3BH,EC Electronics,85210.0,2021,1,KCET,0.4650947000709568,EC Electronics,khaja banda nawaz university kalburgi,khaja banda nawaz university kalburgi,0.4650947000709568,108531.0,41,,49277.0,4463,3,108531.0,49277.0,41,4463,1,11.35288581246491,0.3819198827490565,1.3952841002128704,13389.0,19.068882702909228,106024.18080052592,60628.722383372864,57592.81606408253,106024.18080052592,60628.722383372864,57592.81606408253,0.2266957566604014,0.4829779614758531,0.3184829753622184,1.3608157049116278,-0.4527545461858591,-0.7886567368252533,-0.8578898410978061,-0.3087662159309902,0.3454856169448763
