College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E006,CS Computers,1G,1,3,2021,KCET,1024.0
E006,CS Computers,1G,1,1,2021,KCET,1024.0
E006,CS Computers,1G,1,2,2021,KCET,1024.0
E005,CS Computers,1G,1,3,2020,KCET,1025.0
E005,EE Electrical,GM,1,1,2021,KCET,1028.0
E006,CS Computers,GMR,1,2,2021,KCET,1030.0
E005,AI Artificial Intelligence,GMH,1,2,2022,KCET,1033.0
E005,IE Info.Science,2AG,1,1,2022,KCET,1034.0
E005,EC Electronics,3BG,1,1,2020,KCET,1035.0
E005,IE Info.Science,3BG,1,3,2022,KCET,1039.0
E005,IE Info.Science,3BG,1,2,2022,KCET,1039.0
E009,CS Computers,3AG,1,1,2020,KCET,1044.0
E048,CS Computers,GMH,1,1,2020,KCET,1050.0
E048,CS Computers,GMH,1,2,2020,KCET,1050.0
E005,CS Computers,2AR,1,3,2021,KCET,1051.0
E005,AI Artificial Intelligence,3BG,1,1,2022,KCET,1051.0
E048,IE Info.Science,GM,1,2,2021,KCET,1053.0
E005,IE Info.Science,2BG,1,3,2021,KCET,1058.0
E005,DS Comp. Sc. Engg- Data Sc.,GM,1,3,2022,KCET,1062.0
E021,CS Computers,GM,1,1,2021,KCET,1064.0
E005,DS Comp. Sc. Engg- Data Sc.,3BG,1,3,2022,KCET,1065.0
E005,DS Comp. Sc. Engg- Data Sc.,3BG,1,2,2022,KCET,1065.0
E003,EC Electronics,GM,1,1,2020,KCET,1069.0
E005,AI Artificial Intelligence,2BG,1,3,2021,KCET,1075.0
E048,CS Computers,GM,1,2,2022,KCET,1075.0
E006,CS Computers,2BG,1,1,2021,KCET,1075.0
E005,AI Artificial Intelligence,2BG,1,2,2021,KCET,1075.0
E009,CS Computers,GM,1,2,2022,KCET,1087.0
E005,CS Computers,2AH,1,2,2022,KCET,1089.0
E005,DS Comp. Sc. Engg- Data Sc.,2AG,1,1,2022,KCET,1089.0
E005,IE Info.Science,2AG,1,1,2020,KCET,1090.0
E005,IE Info.Science,2AG,1,3,2020,KCET,1090.0
E005,IE Info.Science,2AG,1,2,2020,KCET,1090.0
