college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E023,P E S College of Engineering  Mandya,EC,Electronics,38987.0,,,34597.0,,35483.0,30323.0,,67551.0,2904.0,,
E023,P E S College of Engineering  Mandya,EE,Electrical,56230.0,95312.0,,58666.0,,64178.0,54641.0,,,5013.0,,
E023,P E S College of Engineering  Mandya,ME,Mechanical,138781.0,,,,,,,,,,,
E024,Malnad College of Engineering  Hassan,CE,Civil Engineering,133995.0,,,139445.0,,,,9662.0,,,,
E024,Malnad College of Engineering  Hassan,EC,Electronics,47466.0,,63068.0,37175.0,,40018.0,40025.0,99536.0,,3271.0,,
E024,Malnad College of Engineering  Hassan,EE,Electrical,81659.0,,,78300.0,91160.0,84957.0,77667.0,,,5435.0,,
E024,Malnad College of Engineering  Hassan,ME,Mechanical,145909.0,,,,,,,,,,,
E028,Tontadarya College of Engineering  Gadag,CE,Civil Engineering,,,,,,,,,,,,
E028,Tontadarya College of Engineering  Gadag,CS,Computer Science,73835.0,,,73812.0,,75169.0,84401.0,,,7257.0,,
E028,Tontadarya College of Engineering  Gadag,EC,Electronics,94042.0,,,87841.0,,94958.0,79982.0,,,8610.0,,
E028,Tontadarya College of Engineering  Gadag,EE,Electrical,,,,107498.0,,,,,184917.0,,,
E028,Tontadarya College of Engineering  Gadag,ME,Mechanical,,,,173024.0,,,,,,,,
E029,Maratha Mandal Engineering College  Belgaum,CS,Computer Science,80854.0,,,82167.0,84596.0,88097.0,73016.0,,,9064.0,,
E029,Maratha Mandal Engineering College  Belgaum,EC,Electronics,111706.0,,,103624.0,,,10033.0,,,,,
E029,Maratha Mandal Engineering College  Belgaum,ME,Mechanical,212957.0,,,229172.0,,,210065.0,,,18843.0,,
E029,Maratha Mandal Engineering College  Belgaum,AI,Artificial Intelligence,,,,,,,12165.0,,,,,
E031,Basaveshwara Engineering College  Bagalkot,CE,Civil Engineering,122228.0,,,,,13318.0,,,,,,
E031,Basaveshwara Engineering College  Bagalkot,CS,Computer Science,21606.0,,,24924.0,,25072.0,27750.0,28244.0,,2299.0,,
E031,Basaveshwara Engineering College  Bagalkot,EC,Electronics,40309.0,42923.0,,33626.0,,34477.0,34013.0,,,3457.0,,
E031,Basaveshwara Engineering College  Bagalkot,EE,Electrical,61202.0,,101106.0,65323.0,,66039.0,102678.0,,174661.0,5573.0,,
E031,Basaveshwara Engineering College  Bagalkot,ME,Mechanical,188848.0,,,,,,,,,,,
E032,R.T.E Socity`s Rural Engineering College  Hulkoti,AI,Artificial Intelligence,,,,82785.0,,,89364.0,,117261.0,9627.0,,
