College_Code,College_Name,Branch_Code,Branch,Quota,Cutoff_Rank,Year,Round,Exam_Type
UNKNOWN,UNKNOWN,CE,Civil,GMK,57853,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,GMR,66814,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,SCG,94329,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,SCK,10670,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,SCR,10609,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,STG,80230,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,STK,12457,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,STR,123121,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1G,7386,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R,8208,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,2AG,6524,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,2AK,7849,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,2AR,7538,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,2BG,7208,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,2BR,11686,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3AG,3728,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3AR,5378,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3BG,4177,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3BK,7918,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3BR,5387,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,GM,3427,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,GMK,7474,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,GMR,4993,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCG,19513,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,29186,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCR,22460,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,STG,22864,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,STR,23998,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1G,10362,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1R,16634,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AG,11077,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AK,16068,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR,13037,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2BG,13625,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2BR,15869,2024,0,KCET
