College_Branch_target_enc,hist_mean,hist_count
17633.991406067707,16840.0,1
17656.993315830437,16455.0,2
17673.848548924852,4763.0,1
17708.973496061848,19366.076923076922,13
17723.912440944616,14814.266666666666,45
17729.030617744713,16693.846153846152,39
17729.326649163773,16129.5,2
17736.736662916046,12929.454545454546,11
17752.093984247396,16823.5,2
17790.43445566562,16674.530612244896,49
17812.326649163773,23611.0,1
17833.987968494792,11887.0,1
17846.705691781994,4234.333333333333,3
17853.187968494793,11636.0,1
17867.668550637754,22671.55,20
17898.20409448764,12593.65,20
17904.32654058387,21795.484848484848,33
17940.21553805266,4207.0,3
17985.61008710154,14004.666666666666,36
18038.242480309244,15250.5,4
18046.348496061844,18328.0,13
18082.1879684948,5531.0,2
18096.54511274133,15885.964912280702,57
18125.987968494792,10427.0,1
18177.13426321057,11887.0,3
18258.53998567945,4464.0,1
18274.704820022085,21008.821428571428,28
18312.987968494792,3143.25,4
18336.083826435617,16387.0,6
18339.10442694155,13675.0,1
18380.437760274883,17132.666666666668,3
18449.95721116651,27843.59259259259,54
18450.323307079,17015.0,4
18523.992480309244,9520.75,4
18566.83951379842,20395.589743589742,39
18585.6715187398,18025.85,40
18633.788128800603,19530.382352941175,34
18635.13426321057,13453.333333333334,3
18648.29184494211,17713.285714285714,35
18660.2939842474,9352.5,2
18666.882204719328,27544.0,3
18697.68206224186,17649.615384615383,39
18702.206665247515,25394.55172413793,29
18722.085427821305,19673.114285714284,35
18727.21553805266,2261.0,1
18747.723446465217,25341.64285714286,14
18760.46616535395,19046.837837837837,37
18781.848496061848,16064.923076923076,13
18789.81271295217,4480.0,1
18821.52814173196,23309.365384615383,52
18827.955030843783,22333.392156862745,51
18830.34562077013,18943.05,60
18831.10442694155,9282.0,1
18837.17260527117,13372.57142857143,7
18857.946693234582,18399.383838383837,99
18863.905468739096,18605.956521739132,23
18897.882204719328,21730.0,1
18899.03435565581,18664.93023255814,43
18904.34029512944,16405.233333333334,30
18906.77449868729,18572.324324324323,37
18948.367480309244,16167.5,2
18976.5879684948,1748.0,2
18990.548871386,15302.333333333334,3
18998.10560486723,17929.56,25
19017.53998567945,7629.0,1
19071.987952755386,23552.619047619046,21
19074.21553805266,7094.0,1
19099.492480309244,9005.0,2
19107.13426321056,6528.0,1
19166.721803861263,5988.0,1
19186.492480309244,12954.0,4
19205.238357033388,16629.869565217392,23
19221.018155956102,22812.3125,48
19248.386748030924,22746.4,25
19289.99331583044,5117.0,1
19334.367480309244,6083.0,1
19355.13426321056,4792.0,1
19385.78796849479,3973.0,1
19480.635816749764,16404.8,30
19483.1879684948,3486.0,1
19487.1879684948,3621.0,1
19514.617480309244,7539.5,4
19570.867480309244,14642.5,2
19577.15664041233,16883.0,3
19578.59495163083,20989.945454545454,55
19588.73276040452,21587.714285714286,35
19596.117480309244,13576.5,2
19605.987968494792,3027.0,1
19620.69067327233,16831.55223880597,67
19622.26725840672,24508.0,1
19656.5879684948,2774.0,1
19672.30586456632,19631.23076923077,26
19733.095660752697,21394.727272727272,22
19740.882204719328,7077.5,2
19746.16999807895,19297.315789473683,19
19759.659982497105,6085.0,1
19773.49965819588,21220.45945945946,37
19776.63089477036,22810.0,1
19804.98997374566,10724.0,2
19821.48997374566,10674.5,2
19828.867480309244,6087.5,2
19838.594661872907,22491.513513513513,74
19844.44473897384,23219.97435897436,39
19871.516754122546,24543.625,104
19888.3879684948,34208.0,1
19909.242480309244,13289.0,2
19919.617301600832,20004.7,20
19935.228805894258,24891.037037037036,54
19936.282770135385,20337.659574468085,47
19942.039864714592,23737.65625,32
19955.8939842474,15914.0,2
19971.492480309244,26935.5,2
19973.04295515195,13524.56,25
19981.73496061849,3190.0,1
20018.367480309244,7965.0,1
20024.849482828515,23038.4776119403,67
20026.99331583044,12193.0,3
20044.02869489117,19255.827586206895,58
20054.40948515992,18330.043478260868,23
20062.492480309244,7612.0,1
20081.2470461188,26693.48214285714,56
20088.47814173196,26236.865384615383,52
20142.41680884953,19641.58,50
20166.144837862765,20763.978723404256,47
