College_Code,Year,Cutoff_Rank
E151,2021,58643.0
E151,2022,54442.0
E151,2023,51581.0
E151,2024,96989.5
E152,2020,81446.0
E152,2021,76668.5
E152,2022,66545.0
E152,2023,74731.5
E152,2024,103845.5
E153,2020,135154.0
E153,2021,92107.0
E153,2022,83467.0
E153,2023,92557.0
E153,2024,121011.0
E154,2020,70561.0
E154,2021,86353.0
E154,2022,87628.0
E154,2023,97210.0
E154,2024,146137.0
E155,2020,61801.0
E155,2021,59151.0
E155,2022,54658.0
E155,2023,65049.5
E155,2024,75648.0
E156,2020,78620.0
E156,2021,82031.0
E156,2022,72659.0
E156,2023,80970.5
E156,2024,127000.0
E157,2020,88390.0
E157,2021,79218.0
E157,2022,81580.0
E157,2023,84911.0
E157,2024,132432.0
E158,2020,69465.0
E158,2021,54675.0
E158,2022,54800.5
E158,2023,68769.0
E158,2024,95336.0
E159,2020,150335.0
E159,2021,115841.0
E159,2022,110466.0
E159,2023,118583.0
E159,2024,157891.0
E160,2020,44926.0
E160,2021,35399.0
E160,2022,39281.0
E160,2023,36091.0
E160,2024,60499.0
E161,2020,104748.0
E161,2021,91527.0
E161,2022,81982.5
E161,2023,92360.0
E161,2024,144355.0
E162,2020,89446.0
E162,2021,89197.0
E162,2022,94060.5
E162,2023,98819.0
E162,2024,140218.0
E163,2020,93877.0
E163,2021,78797.0
E163,2022,77390.0
E163,2023,81136.0
E163,2024,133819.5
E164,2020,112218.5
E164,2021,103733.0
E164,2022,98018.5
E164,2023,110035.5
E164,2024,158221.0
E165,2020,115118.0
E165,2021,98016.0
E165,2022,95448.5
E165,2023,106895.0
E165,2024,137162.5
E166,2020,46983.0
E166,2021,44243.0
E166,2022,44390.0
E166,2023,54831.0
E166,2024,75077.5
E167,2020,81265.0
E167,2021,70515.0
E167,2022,63287.0
E167,2023,58170.0
E167,2024,98284.0
E168,2020,117291.5
E168,2021,94275.0
E168,2022,82933.5
E168,2023,92676.0
E168,2024,129610.5
E169,2020,92924.0
E169,2021,79276.5
E169,2022,69652.0
E169,2023,79832.0
