College_Code,median_cutoff,mean_cutoff,max_cutoff,min_cutoff,count,iqr,median_rank,mean_rank
E158,70258.0,87714.72411444141,274599.0,24243.0,1468,68827.0,70258.0,87714.72411444141
E095,71033.0,86038.39873750658,260959.0,27293.0,1901,57586.0,71033.0,86038.39873750658
E102,71688.0,87966.2655690766,274380.0,23285.0,1397,70159.0,71688.0,87966.2655690766
E265,71868.5,88926.75630252101,271935.0,30165.0,714,67330.75,71868.5,88926.75630252101
E065,72048.5,85792.63440265486,274708.0,12287.0,1808,80496.75,72048.5,85792.63440265486
E167,72465.0,89535.16747181964,273460.0,28819.0,621,72929.0,72465.0,89535.16747181964
E196,72875.0,88773.2300531915,274285.0,19679.0,752,83003.25,72875.0,88773.2300531915
E064,72951.0,88941.17801998183,273680.0,22897.0,1101,69352.0,72951.0,88941.17801998183
E059,73046.0,87255.01620526671,271187.0,16424.0,1481,67703.0,73046.0,87255.01620526671
E257,73137.0,88476.4046973803,273519.0,26113.0,1107,60777.0,73137.0,88476.4046973803
E239,73200.5,84822.74746621621,274680.0,20208.0,1184,78260.5,73200.5,84822.74746621621
E061,73250.0,82350.92322185586,273184.0,11889.0,2123,69841.5,73250.0,82350.92322185586
E014,73493.0,85971.16782773907,273398.0,22526.0,1579,63717.5,73493.0,85971.16782773907
E024,73587.0,87355.5006385696,273537.0,14221.0,783,78750.0,73587.0,87355.5006385696
E096,73736.0,90037.1118359739,272574.0,31175.0,1073,58004.0,73736.0,90037.1118359739
E108,73805.0,88955.15910898965,272126.0,16111.0,1257,78529.0,73805.0,88955.15910898965
E258,74395.0,93105.99869109948,265815.0,25906.0,764,66252.0,74395.0,93105.99869109948
E142,74514.0,88039.10403726708,254778.0,19258.0,644,68241.5,74514.0,88039.10403726708
E123,74563.5,90108.93325526932,273277.0,29840.0,854,60215.5,74563.5,90108.93325526932
E077,74717.0,89143.33068181819,272029.0,20088.0,880,77548.5,74717.0,89143.33068181819
E152,74976.0,86769.55707762558,260987.0,32238.0,657,59557.0,74976.0,86769.55707762558
E150,75010.5,89685.35101404056,272435.0,22513.0,1282,63447.25,75010.5,89685.35101404056
E290,75709.0,95904.18844984802,269636.0,17979.0,329,89609.0,75709.0,95904.18844984802
E145,76022.0,90911.00768639508,272142.0,28165.0,1301,62889.0,76022.0,90911.00768639508
E173,77457.0,91513.6334231806,269602.0,20145.0,1113,68547.0,77457.0,91513.6334231806
E237,77864.0,94060.48569136133,273911.0,27616.0,3739,61952.0,77864.0,94060.48569136133
E104,77983.0,92857.4050387597,270482.0,31123.0,1032,54542.25,77983.0,92857.4050387597
E083,78848.0,92297.51453175457,261912.0,35894.0,929,54417.0,78848.0,92297.51453175457
E092,79337.0,94434.4655532359,273979.0,31048.0,958,64224.75,79337.0,94434.4655532359
E209,79916.5,94709.19794344473,273145.0,26221.0,778,65688.75,79916.5,94709.19794344473
E269,80011.0,95986.15089514067,272087.0,36223.0,391,71279.5,80011.0,95986.15089514067
E075,80148.0,92273.63772954924,274227.0,19536.0,1797,61542.0,80148.0,92273.63772954924
E111,80572.0,94913.58302238806,274380.0,32480.0,1072,54684.5,80572.0,94913.58302238806
E017,81588.5,92289.05994729907,273563.0,22772.0,1518,70113.5,81588.5,92289.05994729907
E222,81716.0,97285.10707070708,262720.0,42781.0,495,60028.5,81716.0,97285.10707070708
E206,81887.5,98476.79848484849,265294.0,25979.0,660,71355.0,81887.5,98476.79848484849
E220,81998.0,99526.25364431487,273667.0,21160.0,1029,72611.0,81998.0,99526.25364431487
E279,82325.5,98040.86363636363,271854.0,14036.0,814,79104.25,82325.5,98040.86363636363
E023,83117.0,94344.81354166666,274479.0,16331.0,960,98094.75,83117.0,94344.81354166666
E101,83552.0,98073.93851132687,274731.0,31682.0,927,66502.5,83552.0,98073.93851132687
E205,83829.0,97466.58582408198,270493.0,32563.0,1171,66505.5,83829.0,97466.58582408198
E085,83840.0,96890.50420168067,273915.0,29594.0,595,63289.0,83840.0,96890.50420168067
E254,84031.5,102995.51589595375,274529.0,28183.0,692,76192.75,84031.5,102995.51589595375
E041,84169.5,100582.15254237287,272179.0,23984.0,944,86812.5,84169.5,100582.15254237287
E088,84181.0,91909.49429657795,253994.0,30110.0,526,56591.75,84181.0,91909.49429657795
E169,84894.0,100048.19131832797,274582.0,34216.0,1244,60988.25,84894.0,100048.19131832797
E106,85064.5,98316.69647887324,273751.0,30445.0,1420,66036.25,85064.5,98316.69647887324
E128,85289.5,96238.17082111437,273955.0,15354.0,1364,74035.25,85289.5,96238.17082111437
E135,85395.5,100031.428125,274729.0,23935.0,640,70586.5,85395.5,100031.428125
E147,85521.0,97048.66600397615,236926.0,46140.0,503,53174.0,85521.0,97048.66600397615
E087,86719.5,100239.20496083552,272394.0,34233.0,766,62706.5,86719.5,100239.20496083552
E018,87829.0,95960.21758839529,273771.0,1607.0,1103,71115.0,87829.0,95960.21758839529
E156,88604.0,100992.10738255034,274236.0,31556.0,745,65020.0,88604.0,100992.10738255034
E171,89469.5,104113.29562982004,273566.0,46347.0,778,52658.0,89469.5,104113.29562982004
E163,89548.5,105603.49162011173,274774.0,33344.0,716,66207.0,89548.5,105603.49162011173
E185,90638.0,107271.54452554745,273165.0,37711.0,685,69958.0,90638.0,107271.54452554745
E255,90966.0,104249.06482982171,269649.0,40099.0,1234,64461.75,90966.0,104249.06482982171
E283,91022.0,104275.51666666666,265812.0,40410.0,600,64086.75,91022.0,104275.51666666666
E112,92288.0,107253.16989567809,273768.0,44334.0,671,59407.0,92288.0,107253.16989567809
E157,92594.0,107632.2481857765,273797.0,34958.0,689,72227.0,92594.0,107632.2481857765
E189,93076.5,107459.18600682594,270379.0,37571.0,586,67066.25,93076.5,107459.18600682594
E186,93079.0,104517.76416819013,267203.0,33673.0,1094,62372.5,93079.0,104517.76416819013
E086,93101.0,103989.2811296534,273713.0,40262.0,779,64861.5,93101.0,103989.2811296534
E100,93211.0,103927.2445054945,272798.0,44290.0,728,55327.0,93211.0,103927.2445054945
E154,93880.0,103504.52882205514,274771.0,27468.0,798,67995.75,93880.0,103504.52882205514
E252,94148.0,106587.34017094017,271681.0,43911.0,585,64994.0,94148.0,106587.34017094017
E203,94554.5,107580.02229299363,274855.0,38143.0,628,61708.5,94554.5,107580.02229299363
E113,95551.0,111018.69128996693,273519.0,51929.0,907,62285.5,95551.0,111018.69128996693
E134,95830.0,110485.77758318739,274587.0,33823.0,571,80613.5,95830.0,110485.77758318739
E281,95900.5,111785.18243243243,272343.0,45113.0,444,63241.75,95900.5,111785.18243243243
E090,96539.0,105127.43542435425,274342.0,30442.0,271,65402.0,96539.0,105127.43542435425
E175,97242.0,110639.38190364277,274884.0,36850.0,851,75373.5,97242.0,110639.38190364277
E121,97686.0,106586.06821963395,274044.0,33471.0,601,67159.0,97686.0,106586.06821963395
E292,97746.0,106801.92857142857,269225.0,41206.0,504,53597.0,97746.0,106801.92857142857
E109,97793.0,112014.33286516854,273488.0,50520.0,712,58930.0,97793.0,112014.33286516854
E124,98798.0,107623.25901639344,272236.0,38811.0,610,63848.0,98798.0,107623.25901639344
E153,99174.0,112230.13997627521,274762.0,41966.0,843,58424.5,99174.0,112230.13997627521
E162,99735.0,112569.18021201414,274426.0,23925.0,849,73994.0,99735.0,112569.18021201414
E028,100417.5,109894.89313984169,272525.0,31511.0,758,66016.75,100417.5,109894.89313984169
E211,100586.0,112599.57806451613,273739.0,34332.0,775,78438.5,100586.0,112599.57806451613
E043,100761.0,108454.1313131313,268873.0,22510.0,1287,65032.0,100761.0,108454.1313131313
E289,101255.0,107266.02685950413,239616.0,34063.0,484,58046.5,101255.0,107266.02685950413
E045,101375.0,114187.58253145817,274593.0,32378.0,1351,66552.5,101375.0,114187.58253145817
E274,101576.5,110635.50241545893,274690.0,33383.0,828,66153.0,101576.5,110635.50241545893
E172,101627.0,115087.88794326241,274525.0,41754.0,705,73935.0,101627.0,115087.88794326241
E204,101864.5,114888.50503355704,269391.0,42706.0,596,63116.75,101864.5,114888.50503355704
E177,102087.0,113790.92053789731,272798.0,39737.0,818,71521.25,102087.0,113790.92053789731
E029,102098.0,114006.80353200882,273790.0,41557.0,453,64926.0,102098.0,114006.80353200882
E161,102178.0,113526.63027656477,274514.0,40175.0,687,69216.5,102178.0,113526.63027656477
E040,103335.5,114216.31081081081,271460.0,37634.0,518,75528.5,103335.5,114216.31081081081
E144,103691.5,113946.5205724508,272889.0,39329.0,1118,66354.0,103691.5,113946.5205724508
E201,103882.0,112325.75409836066,273875.0,33983.0,610,68766.0,103882.0,112325.75409836066
E127,103942.0,117367.70772442588,271083.0,57333.0,479,65854.0,103942.0,117367.70772442588
E300,104369.5,116767.296875,257788.0,59997.0,448,54619.5,104369.5,116767.296875
E287,104370.0,118634.3125,273940.0,58638.0,80,66111.25,104370.0,118634.3125
E198,106171.0,114869.4196141479,270783.0,32883.0,622,67599.25,106171.0,114869.4196141479
E199,106752.5,117821.01320754716,274587.0,47645.0,530,69869.75,106752.5,117821.01320754716
E168,107610.5,120756.44696969698,264805.0,46826.0,396,66976.0,107610.5,120756.44696969698
E291,108212.0,120893.25906735752,270285.0,59099.0,386,60326.5,108212.0,120893.25906735752
E139,108297.0,120160.85008818342,274840.0,56246.0,567,64067.0,108297.0,120160.85008818342
E130,109012.0,121401.19669421487,274768.0,54967.0,605,63040.0,109012.0,121401.19669421487
E116,109501.0,124319.87114845938,273822.0,25319.0,357,61003.0,109501.0,124319.87114845938
E188,109841.0,126369.6891089109,273322.0,59656.0,505,68580.0,109841.0,126369.6891089109
E194,110239.5,118861.12635379062,274291.0,43318.0,554,69349.0,110239.5,118861.12635379062
E070,110349.0,124661.35609756097,272745.0,54763.0,410,66236.75,110349.0,124661.35609756097
E165,110735.5,121260.53267045454,267060.0,45119.0,704,62445.5,110735.5,121260.53267045454
E033,111500.5,117623.08781362008,274452.0,43767.0,558,63788.0,111500.5,117623.08781362008
E221,112379.0,124619.93969849247,274793.0,58741.0,398,62089.75,112379.0,124619.93969849247
E046,112989.0,121337.74160206718,271261.0,44621.0,387,61467.5,112989.0,121337.74160206718
E120,113231.0,126653.2951807229,272607.0,59907.0,332,61640.5,113231.0,126653.2951807229
E094,113362.0,123442.89279112754,274044.0,45507.0,541,63264.0,113362.0,123442.89279112754
E288,113718.0,127192.343470483,271075.0,48487.0,559,59103.0,113718.0,127192.343470483
E302,114056.0,133655.2417218543,274291.0,50170.0,302,94234.5,114056.0,133655.2417218543
E032,114820.5,121396.2118226601,272718.0,41347.0,406,64493.25,114820.5,121396.2118226601
E044,115155.0,120261.45025125628,272468.0,38442.0,995,64024.0,115155.0,120261.45025125628
E164,115935.0,122625.51759530792,274582.0,38702.0,682,66953.25,115935.0,122625.51759530792
E238,116029.0,125508.64539007092,270331.0,55999.0,423,71858.5,116029.0,125508.64539007092
E054,116124.5,124368.98663101604,266188.0,55480.0,374,57018.0,116124.5,124368.98663101604
E013,116138.0,124781.05641025641,274232.0,58200.0,585,60353.0,116138.0,124781.05641025641
E136,116418.0,128683.04133858268,274533.0,30591.0,508,57173.25,116418.0,128683.04133858268
E066,118392.5,120675.4375,248374.0,41406.0,48,63731.25,118392.5,120675.4375
E055,118759.0,126637.23379174853,274540.0,50540.0,509,65234.0,118759.0,126637.23379174853
E081,119313.0,128701.02643171806,268482.0,59144.0,454,64948.75,119313.0,128701.02643171806
E191,119332.5,127672.66185897436,272908.0,65105.0,624,60150.25,119332.5,127672.66185897436
E272,119467.0,125284.63211845103,274817.0,32730.0,878,71023.25,119467.0,125284.63211845103
E063,119553.0,123412.23383084577,272877.0,46699.0,603,67784.0,119553.0,123412.23383084577
E042,119949.0,127794.02059496568,272179.0,23950.0,437,63726.0,119949.0,127794.02059496568
E227,120499.0,131211.43902439025,274569.0,65010.0,369,71138.0,120499.0,131211.43902439025
E146,121014.0,133856.88335358445,274599.0,64926.0,823,68700.5,121014.0,133856.88335358445
E119,121148.0,128032.43071161049,272054.0,45454.0,267,62445.5,121148.0,128032.43071161049
E035,121215.0,123899.5796460177,274582.0,32617.0,226,55419.75,121215.0,123899.5796460177
E216,121465.0,131463.19939577038,273519.0,52659.0,331,62905.5,121465.0,131463.19939577038
E132,122089.0,127853.26419753087,269495.0,45130.0,405,73662.0,122089.0,127853.26419753087
E174,122246.5,129868.33798882681,272366.0,63759.0,358,67531.5,122246.5,129868.33798882681
E180,123888.5,133673.89928057554,269406.0,61236.0,278,58660.0,123888.5,133673.89928057554
E297,124038.0,135871.18604651163,273630.0,56966.0,473,70796.0,124038.0,135871.18604651163
E273,125743.0,135768.65056818182,274004.0,47541.0,704,73029.75,125743.0,135768.65056818182
E207,125878.0,134266.10638297873,273621.0,62300.0,517,68116.0,125878.0,134266.10638297873
E076,126559.0,134518.5260115607,274731.0,41792.0,519,72099.5,126559.0,134518.5260115607
E299,127279.0,135904.47445255474,272665.0,67819.0,137,63089.0,127279.0,135904.47445255474
E159,127729.0,138549.92374727668,274540.0,73338.0,459,63870.0,127729.0,138549.92374727668
E015,127839.5,134182.03333333333,274468.0,44717.0,690,69233.5,127839.5,134182.03333333333
E264,130935.0,131773.11111111112,255048.0,75971.0,45,61369.0,130935.0,131773.11111111112
E210,131118.0,138556.42887931035,270679.0,52927.0,464,70485.25,131118.0,138556.42887931035
E308,131238.0,141458.59842519686,267282.0,64413.0,127,65286.5,131238.0,141458.59842519686
E176,131577.0,136044.0399159664,274184.0,41050.0,476,73658.5,131577.0,136044.0399159664
E306,132013.0,131789.42307692306,265191.0,32014.0,156,82981.5,132013.0,131789.42307692306
E184,133364.0,141636.56237623762,274299.0,65468.0,505,58842.0,133364.0,141636.56237623762
E093,133793.0,139035.90888382687,273740.0,44451.0,439,64384.5,133793.0,139035.90888382687
E307,134329.0,149436.65942028986,271125.0,64513.0,138,84823.0,134329.0,149436.65942028986
E193,134466.0,143296.65542168674,274696.0,40628.0,415,65957.0,134466.0,143296.65542168674
E202,135748.0,150856.2,274597.0,73537.0,335,70690.5,135748.0,150856.2
E304,137960.0,157240.056,274269.0,87958.0,125,76320.0,137960.0,157240.056
E305,139658.0,155381.59731543623,274762.0,58890.0,149,97659.0,139658.0,155381.59731543623
E278,139885.0,148998.150990099,274515.0,50940.0,404,68932.0,139885.0,148998.150990099
E213,140426.5,141770.13611111112,268557.0,27536.0,360,67688.0,140426.5,141770.13611111112
E303,143171.0,153410.84485407066,274745.0,54488.0,651,89214.5,143171.0,153410.84485407066
E301,147123.5,157894.7985074627,274731.0,82839.0,268,67709.5,147123.5,157894.7985074627
E181,149904.0,161836.49222797927,274621.0,71982.0,193,97373.0,149904.0,161836.49222797927
E197,152741.0,152296.7918367347,274633.0,74537.0,245,56005.0,152741.0,152296.7918367347
E309,154562.0,161630.4126984127,274489.0,82421.0,126,71492.75,154562.0,161630.4126984127
E256,166122.0,171989.0,253360.0,103255.0,39,79566.5,166122.0,171989.0
E263,172328.0,188433.77272727274,265117.0,95188.0,22,59415.5,172328.0,188433.77272727274
