College_Code,Branch,Category,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal
E012,ME-Mechanical Engineering,GM,1,1,1,85896,85896,85896.0,0,SingleRound
E012,UE-Electronics & Computer Engineering,GM,1,1,1,78166,78166,78166.0,0,SingleRound
E013,AD-Artificial Intelligence & Data Science,GM,1,4,3,63333,102126,83351.0,38793,Deteriorated
E013,CS-Computer Science & Engineering,GM,1,1,1,98210,98210,98210.0,0,SingleRound
E013,EC-Electronics & Comm-unication Engineering,GM,1,1,1,91959,91959,91959.0,0,SingleRound
E014,AI-Artificial Intelligence & Machine Learning,GM,1,1,1,100356,100356,100356.0,0,SingleRound
E014,CS-Computer Science & Engineering,GM,1,3,2,56249,99442,77846.0,43193,Improved
E014,EC-Electronics & Comm-unication Engineering,GM,1,1,1,60713,60713,60713.0,0,SingleRound
E014,IS-Information Science & Engineering,GM,1,1,1,43258,43258,43258.0,0,SingleRound
E015,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,13185,40995,24774.0,27810,Deteriorated
E015,AI-Artificial Intelligence & Machine Learning,KKR,1,2,2,37394,51067,44230.0,13673,Deteriorated
E015,CS-Computer Science & Engineering,GM,1,4,3,10796,30741,19475.0,19945,Deteriorated
E015,CS-Computer Science & Engineering,KKR,1,2,2,32153,40955,36554.0,8802,Deteriorated
E015,EC-Electronics & Comm- unication Engineering,GM,4,4,1,60533,60533,60533.0,0,SingleRound
E015,EC-Electronics & Comm-unication Engineering,GM,1,1,1,14829,14829,14829.0,0,SingleRound
E015,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,43643,43643,43643.0,0,SingleRound
E015,EC-Electronics & Communication Engineering,GM,3,3,1,26509,26509,26509.0,0,SingleRound
E015,EC-Electronics & Communication Engineering,KKR,2,2,1,67647,67647,67647.0,0,SingleRound
E015,EE-Electrical & Electronics Engineering,GM,1,4,3,23514,61025,45437.0,37511,Deteriorated
E015,EE-Electrical & Electronics Engineering,KKR,1,2,2,74480,74480,74480.0,0,NoChange
E015,IS-Information Science & Engineering,GM,1,4,3,12299,40347,23778.0,28048,Deteriorated
E015,IS-Information Science & Engineering,KKR,1,2,2,36634,51960,44297.0,15326,Deteriorated
E015,ME-Mechanical Engineering,GM,1,3,2,37108,99998,68553.0,62890,Deteriorated
E016,AR- Automation & Robotics Engineering,GM,4,4,1,92848,92848,92848.0,0,SingleRound
E016,AR-Automation & Robotics Engineering,GM,1,3,2,21723,44085,32904.0,22362,Deteriorated
E016,AR-Automation & Robotics Engineering,KKR,1,2,2,48753,62445,55599.0,13692,Deteriorated
E016,BT- Biotechnology,GM,3,3,1,90739,90739,90739.0,0,SingleRound
E016,BT-Bio- technology,GM,4,4,1,95802,95802,95802.0,0,SingleRound
E016,BT-Bio-technology,GM,1,1,1,62171,62171,62171.0,0,SingleRound
E016,CA-Computer Science & Engineering (Artificial Intelligence),GM,1,4,3,12824,49639,27221.0,36815,Deteriorated
E016,CA-Computer Science & Engineering (Artificial Intelligence),KKR,1,2,2,25837,33637,29737.0,7800,Deteriorated
E016,CS-Computer Science & Engineering,GM,1,4,3,11366,28951,19105.0,17585,Deteriorated
