College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Category,City,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal,CTX_Seats,CTX_Avg_Rank,CTX_Best_Rank,CTX_Worst_Rank,CTX_Active_Colleges,CTX_Active_Branches,Round_Premium,Category_Enc,Trend_Signal_Enc,College_TE,Branch_TE,City_Avg_Rank,City_College_Count,Is_R2,Round_Exposure,Rank_Percentile,Rank_Band,Prestige_x_Branch,RoundVolatility,Stability_Flag
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",KKR,AI-Artificial Intelligence & Machine Learning,85669,2024,1,COMEDK,Below Average,Ballari,1,1,1,85669,85669,85669.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,75882.6875,55284.36263736264,76947.35,2,0,8.026845637583893,26.100352112676063,Rest,1.3725886286824345,0.0,0
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,22221,2024,1,COMEDK,Good,Bangalore,1,4,3,22221,95553,60176.0,73332,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,59241.0,55284.36263736264,49851.061016949156,65,0,8.026845637583893,79.13732394366197,Top_50k,1.0715688338236056,24444.0,0
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,69480,2024,1,COMEDK,Average,Bangalore,1,2,2,69480,73896,71688.0,4416,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,59241.0,55284.36263736264,49851.061016949156,65,0,8.026845637583893,40.58098591549296,Top_80k,1.0715688338236056,2208.0,1
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,4599,2024,1,COMEDK,Excellent,Bangalore,1,4,3,4599,15770,9451.0,11171,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,32406.5,55284.36263736264,49851.061016949156,65,0,8.026845637583893,95.46654929577466,Elite_5k,0.5861784138232757,3723.6666666666665,0
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,12861,2024,1,COMEDK,Very Good,Bangalore,1,2,2,12861,23964,18412.0,11103,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,32406.5,55284.36263736264,49851.061016949156,65,0,8.026845637583893,87.8080985915493,Top_20k,0.5861784138232757,5551.5,0
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,42543,2024,1,COMEDK,Good,Bangalore,1,4,3,42543,85968,63757.0,43425,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,65826.0625,55284.36263736264,49851.061016949156,65,0,8.026845637583893,62.984154929577464,Top_50k,1.1906814035604527,14475.0,0
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,AI-Artificial Intelligence & Machine Learning,64634,2024,1,COMEDK,Average,Davangere,1,4,3,64634,100899,87773.0,36265,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,77877.04,55284.36263736264,80735.5,3,0,8.026845637583893,44.74031690140845,Top_80k,1.408663070077046,12088.333333333334,0
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,AI-Artificial Intelligence & Machine Learning,87258,2024,1,COMEDK,Below Average,Davangere,1,1,1,87258,87258,87258.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,77877.04,55284.36263736264,80735.5,3,0,8.026845637583893,24.42781690140845,Rest,1.408663070077046,0.0,0
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",GM,AD-Artificial Intelligence & Data Science,67253,2024,1,COMEDK,Average,Bidar,1,1,1,67253,67253,67253.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,81312.66666666667,57754.49382716049,76902.6,2,0,8.026845637583893,42.64964788732394,Top_80k,1.4079019878523698,0.0,0
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,AI-Artificial Intelligence & Machine Learning,48966,2024,1,COMEDK,Good,Bagalkote,1,4,3,48966,96627,79448.0,47661,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,78442.78947368421,55284.36263736264,78442.78947368421,1,0,8.026845637583893,57.79049295774648,Top_50k,1.418896514883044,15887.0,0
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",KKR,AI-Artificial Intelligence & Machine Learning,69367,2024,1,COMEDK,Average,Bagalkote,1,1,1,69367,69367,69367.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,78442.78947368421,55284.36263736264,78442.78947368421,1,0,8.026845637583893,40.66901408450704,Top_80k,1.418896514883044,0.0,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AD-Artificial Intelligence & Data Science,1539,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1539,4294,2858.0,2755,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,19215.583333333332,57754.49382716049,49851.061016949156,65,0,8.026845637583893,98.67957746478874,Elite_5k,0.3327114837304093,918.3333333333334,1
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,1981,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1981,4971,3330.0,2990,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,19215.583333333332,55284.36263736264,49851.061016949156,65,0,8.026845637583893,98.19542253521126,Elite_5k,0.34757718849682334,996.6666666666666,1
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AS-Aerospace Engineering,4450,2024,1,COMEDK,Excellent,Bangalore,1,4,3,4450,16466,10426.0,12016,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,19215.583333333332,34886.391304347824,49851.061016949156,65,0,8.026845637583893,95.59859154929578,Elite_5k,0.5508045577341939,4005.3333333333335,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,8003,2024,1,COMEDK,Very Good,Bangalore,1,2,2,8003,12412,10208.0,4409,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,19215.583333333332,57754.49382716049,49851.061016949156,65,0,8.026845637583893,92.3855633802817,Top_20k,0.3327114837304093,2204.5,1
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,7942,2024,1,COMEDK,Very Good,Bangalore,1,2,2,7942,10322,9132.0,2380,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,19215.583333333332,55284.36263736264,49851.061016949156,65,0,8.026845637583893,92.47359154929578,Top_20k,0.34757718849682334,1190.0,1
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AS-Aerospace Engineering,36946,2024,1,COMEDK,Good,Bangalore,1,2,2,36946,36946,36946.0,0,NoChange,1196,55333.0,193,102243,149,59,0,1,1,19215.583333333332,34886.391304347824,49851.061016949156,65,0,8.026845637583893,67.36355633802816,Top_50k,0.5508045577341939,0.0,1
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,5697,2024,1,COMEDK,Very Good,Bangalore,1,4,3,5697,18563,11073.0,12866,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,29518.625,55284.36263736264,49851.061016949156,65,0,8.026845637583893,94.49823943661971,Top_20k,0.533941671601194,4288.666666666667,0
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,22703,2024,1,COMEDK,Good,Bangalore,1,2,2,22703,32944,27824.0,10241,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,29518.625,55284.36263736264,49851.061016949156,65,0,8.026845637583893,78.78521126760563,Top_50k,0.533941671601194,5120.5,1
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,49216,2024,1,COMEDK,Good,Bangalore,1,3,2,49216,95743,72480.0,46527,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,87293.5,55284.36263736264,49851.061016949156,65,0,8.026845637583893,57.284330985915496,Top_50k,1.5789908002123685,23263.5,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,AD-Artificial Intelligence & Data Science,13021,2024,1,COMEDK,Very Good,Bangalore,1,4,3,13021,51311,27926.0,38290,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,34158.6,57754.49382716049,49851.061016949156,65,0,8.026845637583893,87.58802816901408,Top_20k,0.5914448856953892,12763.333333333334,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,12597,2024,1,COMEDK,Very Good,Bangalore,1,4,3,12597,47001,26482.0,34404,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,34158.6,55284.36263736264,49851.061016949156,65,0,8.026845637583893,88.33626760563381,Top_20k,0.6178709199211191,11468.0,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,39918,2024,1,COMEDK,Good,Bangalore,1,2,2,39918,52197,46058.0,12279,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,34158.6,57754.49382716049,49851.061016949156,65,0,8.026845637583893,65.18485915492957,Top_50k,0.5914448856953892,6139.5,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,37232,2024,1,COMEDK,Good,Bangalore,1,2,2,37232,50273,43752.0,13041,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,34158.6,55284.36263736264,49851.061016949156,65,0,8.026845637583893,67.07746478873239,Top_50k,0.6178709199211191,6520.5,0
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,21151,2024,1,COMEDK,Good,Bangalore,1,4,3,21151,88161,48729.0,67010,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,59985.032258064515,55284.36263736264,49851.061016949156,65,0,8.026845637583893,80.1056338028169,Top_50k,1.0850271106774962,22336.666666666668,0
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,58404,2024,1,COMEDK,Average,Bangalore,1,1,1,58404,58404,58404.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,59985.032258064515,55284.36263736264,49851.061016949156,65,0,8.026845637583893,50.286091549295776,Top_80k,1.0850271106774962,0.0,0
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,AD-Artificial Intelligence & Data Science,99218,2024,1,COMEDK,Below Average,Tumakuru,1,1,1,99218,99218,99218.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,91880.42857142857,57754.49382716049,47443.375,4,0,8.026845637583893,6.602112676056336,Rest,1.5908792975728496,0.0,0
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,100898,2024,1,COMEDK,Below Average,Bangalore,1,3,2,81421,100898,91160.0,19477,Improved,1196,55333.0,193,102243,149,59,0,0,2,89893.33333333333,55284.36263736264,49851.061016949156,65,0,8.026845637583893,2.5528169014084483,Rest,1.6260173590674811,9738.5,0
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,AD-Artificial Intelligence & Data Science,96402,2024,1,COMEDK,Below Average,South Kodagu,1,1,1,96402,96402,96402.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,86083.33333333333,57754.49382716049,86083.33333333333,1,0,8.026845637583893,12.323943661971825,Rest,1.490504506730704,0.0,0
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,AI-Artificial Intelligence & Machine Learning,95657,2024,1,COMEDK,Below Average,South Kodagu,1,1,1,95657,95657,95657.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,86083.33333333333,55284.36263736264,86083.33333333333,1,0,8.026845637583893,13.534330985915489,Rest,1.5571009454879006,0.0,0
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,11571,2024,1,COMEDK,Very Good,Bangalore,1,4,3,11571,46862,26186.0,35291,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,40488.541666666664,55284.36263736264,49851.061016949156,65,0,8.026845637583893,89.08450704225352,Top_20k,0.732368788119182,11763.666666666666,0
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,34142,2024,1,COMEDK,Good,Bangalore,1,2,2,34142,37892,36017.0,3750,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,40488.541666666664,55284.36263736264,49851.061016949156,65,0,8.026845637583893,69.14612676056338,Top_50k,0.732368788119182,1875.0,1
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AE-Aeronautical Engineering,11671,2024,1,COMEDK,Very Good,Bangalore,1,3,2,11671,24269,17970.0,12598,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,26760.204301075268,64615.82142857143,49851.061016949156,65,0,8.026845637583893,88.9524647887324,Top_20k,0.41414321925253134,6299.0,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,2785,2024,1,COMEDK,Excellent,Bangalore,1,4,3,2785,6927,4675.0,4142,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,26760.204301075268,55284.36263736264,49851.061016949156,65,0,8.026845637583893,97.22711267605634,Elite_5k,0.4840465372931696,1380.6666666666667,1
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AU-Automobile Engineering,19562,2024,1,COMEDK,Very Good,Bangalore,1,3,2,19562,42671,31116.0,23109,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,26760.204301075268,63557.0,49851.061016949156,65,0,8.026845637583893,81.86619718309859,Top_20k,0.4210425964264403,11554.5,0
